# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
трусливость,трусость	"THE TRAIT OF LACKING COURAGE"	cowardice(icl>spirit>thing,ant>courage)+cowardliness(icl>spirit>thing,equ>cowardice,ant>courage)
робкий,трусливый	"LACKING COURAGE"	cowardly(icl>adj,ant>brave)+fearful(icl>adj,equ>cowardly,ant>brave)
преклоняться,простираться ниц	"SHOW SUBMISSION OR FEAR"	cower(icl>bend>do,equ>fawn,agt>thing)+crawl(icl>bend>do,equ>fawn,agt>thing)+creep(icl>bend>do,equ>fawn,agt>thing)+cringe(icl>bend>do,equ>fawn,agt>thing)+fawn(icl>bend>do,agt>thing)+grovel(icl>bend>do,equ>fawn,agt>living_thing)
морочить,надувать,обманывать	"BE FALSE TO"	cozen(icl>victimize>do,equ>deceive,src>thing,agt>volitional_thing,obj>volitional_thing)+deceive(icl>victimize>do,agt>thing,obj>volitional_thing,met>thing)+delude(icl>victimize>do,equ>deceive,agt>thing,obj>thing)+lead_on(icl>victimize>do,equ>deceive,agt>thing,obj>thing)
неформальный,уютный	"HAVING OR FOSTERING A WARM OR FRIENDLY AND INFORMAL ATMOSPHERE"	cozy(icl>adj)+informal(icl>adj,equ>cozy)+intimate(icl>adj,equ>cozy)
Гц,герц	"THE UNIT OF FREQUENCY"	cps(icl>rate>thing,equ>hertz)+cycle(icl>rate>thing,equ>hertz)+hertz(icl>rate>thing)+hz(icl>rate>thing,equ>hertz)
мейнфрейм,процессор,цпу	"(COMPUTER SCIENCE) THE PART OF A COMPUTER (A MICROPROCESSOR CHIP) THAT DOES MOST OF THE DATA PROCESSING"	cpu(icl>electronic_equipment>thing,equ>central_processing_unit)+mainframe(icl>electronic_equipment>thing,equ>central_processing_unit)+processor(icl>electronic_equipment>thing,equ>central_processing_unit)
неразборчивый,раздражительный,сварливый,сердитый	"PERVERSELY IRRITABLE"	crabbed(icl>adj)+crabby(icl>adj,equ>crabbed)+cross(icl>adj,equ>crabbed)+fussy(icl>adj,equ>crabbed)+grumpy(icl>adj,equ>crabbed)+ill-tempered(icl>adj,equ>crabbed)
бросок,попытка,проба	"A USUALLY BRIEF ATTEMPT","TRY, ATTEMPT"	crack(icl>attempt>thing)+fling(icl>attempt>thing,equ>crack)+go(icl>abstract_thing,obj>uw,aoj>person)+offer(icl>attempt>thing,equ>crack)+pass(icl>attempt>thing,equ>crack)+whirl(icl>attempt>thing,equ>crack)
лопаться,рваться	"BREAK SUDDENLY AND ABRUPTLY, AS UNDER TENSION","BREAK SUDDENLY AND ABRUPTLY; AS OF SOMETHING UNDER TENSION"	crack(icl>break>occur,equ>snap,obj>thing)+snap(icl>separate>occur,equ>tear,obj>concrete_thing)
растрескивание,треск	"A SUDDEN SHARP NOISE"	crack(icl>noise>thing)+cracking(icl>noise>thing,equ>crack)+snap(icl>noise>thing,equ>crack)
петарда,шутиха	"FIREWORK CONSISTING OF A SMALL EXPLOSIVE CHARGE AND FUSE IN A HEAVY PAPER CASING"	cracker(icl>firework>thing,equ>firecracker)+firecracker(icl>firework>thing)
трещать,хрустеть	"MAKE CRUNCHING NOISES"	crackle(icl>make_noise>do,equ>crunch,agt>thing)+crunch(icl>make_noise>do,agt>thing)
потрескивание,хруст	"THE SHARP SOUND OF SNAPPING NOISES"	crackle(icl>noise>thing)+crepitation(icl>noise>thing,equ>crackle)
потрескивать,трещать,хрустеть	"MAKE A CRACKLING SOUND"	crackle(icl>rattle>occur,equ>crepitate,obj>thing)+crepitate(icl>rattle>occur,obj>thing)
полоумная,психованая	"A FEMALE WHIMSICALLY ECCENTRIC PERSON"	crackpot(icl>eccentric>thing,mod>female)
полоумный,псих	"A MALE WHIMSICALLY ECCENTRIC PERSON"	crackpot(icl>eccentric>thing,mod>male)
взломщик,медвежатник	"A THIEF WHO BREAKS OPEN SAFES TO STEAL VALUABLE CONTENTS"	cracksman(icl>thief>thing,equ>safebreaker)+safecracker(icl>thief>thing,equ>safebreaker)
взломщик,медвежатник	"A MALE THIEF WHO BREAKS OPEN SAFES TO STEAL VALUABLE CONTENTS"	cracksman(icl>thief>thing,equ>safebreaker,mod>male)
взломщица,медвежатница	"A FEMALE THIEF WHO BREAKS OPEN SAFES TO STEAL VALUABLE CONTENTS"	crackswoman(icl>thief>thing,equ>safebreaker)
лоток,промывочный лоток	"A TROUGH THAT CAN BE ROCKED BACK AND FORTH"	cradle(icl>trough>thing,equ>rocker)+rocker(icl>trough>thing)
гильдия,профессия,цех	"PEOPLE WHO PERFORM A PARTICULAR KIND OF SKILLED WORK"	craft(icl>class>thing)+trade(icl>class>thing,equ>craft)
профессия,ремесло	"THE SKILLED PRACTICE OF A PRACTICAL OCCUPATION"	craft(icl>occupation>thing,equ>trade)+trade(icl>occupation>thing)
коварство,хитрость	"SHREWDNESS AS DEMONSTRATED BY BEING SKILLED IN DECEPTION"	craft(icl>shrewdness>thing)+craftiness(icl>shrewdness>thing,equ>craft)+cunning(icl>shrewdness>thing,equ>craft)+guile(icl>shrewdness>thing,equ>craft)+slyness(icl>shrewdness>thing,equ>craft)
ремесло,умение	"SKILL IN AN OCCUPATION OR TRADE"	craft(icl>skill>thing)+craftsmanship(icl>skill>thing,equ>craft)+workmanship(icl>skill>thing,equ>craft)
коварство,лукавство,хитрость	"THE QUALITY OF BEING CRAFTY"	craftiness(icl>disingenuousness>thing)+deceitfulness(icl>disingenuousness>thing,equ>craftiness)+guile(icl>disingenuousness>thing,equ>craftiness)
игривый,искусный,коварный,лисий,ловкий,лукавый,плутовской,скользкий,хитроумный,хитрый	"MARKED BY SKILL IN DECEPTION"	crafty(icl>adj)+cunning(icl>adj,equ>crafty)+dodgy(icl>adj,equ>crafty)+foxy(icl>adj,equ>crafty)+guileful(icl>adj,equ>crafty)+knavish(icl>adj,equ>crafty)+slick(icl>adj,equ>crafty)+sly(icl>adj,equ>crafty)+tricksy(icl>adj,equ>crafty)+tricky(icl>adj,equ>crafty)
скалистый,холмистый	"HAVING HILLS AND CRAGS"	craggy(icl>adj,equ>cragged)+hilly(icl>adj,equ>cragged)+mountainous(icl>adj,equ>cragged)
кривой стартер,кривошип	"A HAND TOOL CONSISTING OF A ROTATING SHAFT WITH PARALLEL HANDLE"	crank(icl>hand_tool>thing)+starter(icl>hand_tool>thing,equ>crank)
выдавать,выдавать на гора,выдавливать,вымучивать	"PRODUCE IN A ROUTINE OR MONOTONOUS MANNER"	crank_out(icl>produce>do,equ>grind_out,agt>thing,obj>thing)+grind_out(icl>force>do,agt>person,obj>thing)
обидчивый,раздражительный,сварливый	"EASILY IRRITATED OR ANNOYED"	cranky(icl>adj)+fractious(icl>adj,equ>cranky)+irritable(icl>adj,equ>cranky)+peevish(icl>adj,equ>cranky)+pettish(icl>adj,equ>cranky)+petulant(icl>adj,equ>cranky)+scratchy(icl>adj,equ>cranky)+testy(icl>adj,equ>cranky)
валкий,шаткий	"(USED OF BOATS) INCLINED TO HEEL OVER EASILY UNDER SAIL"	cranky(icl>adj,equ>crank)+tender(icl>adj,equ>crank)+tippy(icl>adj,equ>crank)
гадить,испражняться	"HAVE A BOWEL MOVEMENT"	crap(icl>excrete>do,equ>stool,agt>animal)+defecate(icl>excrete>do,equ>stool,agt>animal,obj>thing)
говно,дерьмо,какашка	"OBSCENE TERMS FOR FECES"	crap(icl>fecal_matter>thing)+dirt(icl>fecal_matter>thing,equ>crap)+poop(icl>fecal_matter>thing,equ>crap)+shit(icl>fecal_matter>thing,equ>crap)
блин,креп	"SMALL VERY THIN PANCAKE"	crape(icl>pancake>thing)+crepe(icl>pancake>thing,equ>crape)
дерьмовый,дрянной,паршивый,плохой,поганый	"VERY BAD"	crappy(icl>adj,equ>icky)+lousy(icl>adj,equ>icky)+rotten(icl>adj,equ>icky)+shitty(icl>adj,equ>icky)
ДТП,авария,катастрофа	"A SERIOUS ACCIDENT (USUALLY INVOLVING ONE OR MORE VEHICLES)"	crash(icl>accident>thing)+wreck(icl>accident>thing,equ>crash)
вписываться,ночевать	"SLEEP IN A CONVENIENT PLACE"	crash(icl>bed_down>occur,equ>doss,obj>thing)+doss(icl>bed_down>occur,obj>thing)
алкать,желать	"HAVE A CRAVING, APPETITE, OR GREAT DESIRE FOR"	crave(icl>desire>do,agt>volitional_thing,obj>thing)+hunger(icl>desire>do,equ>crave,agt>thing)+lust(icl>desire>do,equ>crave,agt>volitional_thing,obj>thing)+starve(icl>desire>do,equ>crave,agt>thing)
ползать,ползти,проползать	"MOVE SLOWLY"	crawl(icl>travel>occur,plt>thing,plf>thing,obj>concrete_thing)+creep(icl>travel>occur,equ>crawl,plt>thing,plf>thing,obj>thing)
культ,причуда	"AN INTEREST FOLLOWED WITH EXAGGERATED ZEAL"	craze(icl>fashion>thing,equ>fad)+cult(icl>fashion>thing,equ>fad)+fad(icl>fashion>thing)+furore(icl>fashion>thing,equ>fad)+rage(icl>fashion>thing,equ>fad)
бешенство,бред,истерия,помешательство,ярость	"STATE OF VIOLENT MENTAL AGITATION"	craze(icl>mania>thing)+delirium(icl>mania>thing,equ>craze)+frenzy(icl>mania>thing,equ>craze)+fury(icl>mania>thing,equ>craze)+hysteria(icl>mania>thing,equ>craze)
безумно,как сумасшедший	"IN AN INSANE MANNER"	crazily(icl>how,equ>insanely,ant>sanely,com>crazy)+dementedly(icl>how,equ>insanely,ant>sanely,com>demented)+insanely(icl>how,ant>sanely,com>insane)+madly(icl>how,equ>insanely,ant>sanely,com>mad)
глупость,дурачество,прихоть	"FOOLISH OR SENSELESS BEHAVIOR"	craziness(icl>play>thing,equ>folly)+folly(icl>play>thing)+foolery(icl>play>thing,equ>folly)+indulgence(icl>play>thing,equ>folly)+lunacy(icl>play>thing,equ>folly)+tomfoolery(icl>play>thing,equ>folly)
безрассудство,безумие,глупость	"THE QUALITY OF BEING RASH AND FOOLISH"	craziness(icl>stupidity>thing,equ>folly)+folly(icl>stupidity>thing)+foolishness(icl>stupidity>thing,equ>folly)+madness(icl>stupidity>thing,equ>folly)
пищать,скрипеть	"MAKE A HIGH-PITCHED, SCREECHING NOISE"	creak(icl>make_noise>occur,equ>squeak,obj>thing)+screak(icl>make_noise>occur,equ>squeak,obj>thing)+screech(icl>make_noise>do,equ>squeak,agt>thing)+squeak(icl>make_noise>do,agt>thing)
ветхий,заброшенный,обветшалый,потрепанный	"WORN AND BROKEN DOWN BY HARD USE"	creaky(icl>adj)+decrepit(icl>adj,equ>creaky)+derelict(icl>adj,equ>creaky)+woebegone(icl>adj,equ>creaky)
сливки общества,цвет общества	"THE BEST PEOPLE OR THINGS IN A GROUP"	cream(icl>elite>thing)+pick(icl>elite>thing,equ>cream)
крем,умягчитель	"TOILETRY CONSISTING OF ANY OF VARIOUS SUBSTANCES IN THE FORM OF A THICK LIQUID THAT HAVE A SOOTHING AND MOISTURIZING EFFECT WHEN APPLIED TO THE SKIN"	cream(icl>toiletry>thing)+emollient(icl>toiletry>thing,equ>cream)+ointment(icl>toiletry>thing,equ>cream)
созидать,творить	"PURSUE A CREATIVE ACTIVITY"	create(icl>act>do,agt>person)
создавать,сотворять,творить	"BRING INTO EXISTENCE"	create(icl>make>do,agt>thing,obj>uw)
создание,творение	"AN ARTIFACT THAT HAS BEEN BROUGHT INTO EXISTENCE BY SOMEONE"	creation(icl>artifact>thing)
инновация,новаторство,основание,создание,установление,учреждение	"THE ACT OF STARTING SOMETHING FOR THE FIRST TIME"	creation(icl>beginning>thing,equ>initiation)+foundation(icl>beginning>thing,equ>initiation)+initiation(icl>beginning>thing)+innovation(icl>beginning>thing,equ>initiation)+institution(icl>beginning>thing,equ>initiation)+introduction(icl>beginning>thing,equ>initiation)+origination(icl>beginning>thing,equ>initiation)
сотворение,творение	"(THEOLOGY) GOD'S ACT OF BRINGING THE UNIVERSE INTO EXISTENCE"	creation(iof>beginning>thing)
Бог,Господь,Иегова,Провидение,Создатель,Творец	"TERMS REFERRING TO THE JUDEO-CHRISTIAN GOD"	creator(iof>god>thing,equ>godhead)+divine(iof>god>thing,equ>godhead)+godhead(iof>god>thing)+jehovah(iof>god>person,equ>godhead)+lord(iof>god>thing,equ>godhead)+maker(iof>god>thing,equ>godhead)
кредо,убеждения	"ANY SYSTEM OF PRINCIPLES OR BELIEFS"	credo(icl>doctrine>thing,equ>creed)+creed(icl>doctrine>thing)
вера,учение	"THE WRITTEN BODY OF TEACHINGS OF A RELIGIOUS GROUP THAT ARE GENERALLY ACCEPTED BY THAT GROUP"	creed(icl>doctrine>thing,equ>religious_doctrine)+gospel(icl>doctrine>thing,equ>religious_doctrine)
подкрадываться,подползать	"ADVANCE STEALTHILY OR UNNOTICED"	creep_up(icl>advance>do,plf>thing,agt>living_thing,obj>volitional_thing)+sneak_up(icl>advance>do,equ>creep_up,plf>thing,agt>living_thing,obj>volitional_thing)
вызывающий дрожь,противный	"CAUSING A SENSATION AS OF THINGS CRAWLING ON YOUR SKIN"	creepy(icl>adj)
вершина,макушка,пик	"THE TOP POINT OF A MOUNTAIN OR HILL"	crest(icl>topographic_point>thing,equ>peak)+crown(icl>topographic_point>thing,equ>peak)+peak(icl>topographic_point>thing)+summit(icl>topographic_point>thing,equ>peak)+tip(icl>topographic_point>thing,equ>peak)+top(icl>place,pof>mountain)
расселина,расщелина	"A DEEP FISSURE"	crevasse(icl>crack>thing)
бригада,команда	"AN ORGANIZED GROUP OF WORKMEN"	crew(icl>unit>thing,equ>gang)+gang(icl>unit>thing)
опеpработник,оперативник	"rus:сотрудник милиции, занимающийся оперативной работой по расследованию правонарушений"	criminal_investigation_officer(icl>role>abstract-thing,icl>police_officer)
оперативница,оперработница	"rus:сотрудник милиции, занимающийся оперативной работой по расследованию правонарушений"	criminal_investigation_officer(icl>role>abstract-thing,icl>police_officer,mod>female)
опеpработник,оперативник	"rus:сотрудник милиции, занимающийся оперативной работой по расследованию правонарушений"	criminal_investigation_officer(icl>role>abstract-thing,icl>police_officer,mod>male)
завивать,завиваться	"CURL TIGHTLY"	crimp(icl>curl>do,agt>thing,obj>thing)+frizz(icl>curl>do,equ>crimp,agt>thing,obj>thing)+frizzle(icl>curl>do,equ>crimp,agt>thing,obj>thing)+kink(icl>curl>do,equ>crimp,agt>thing,obj>thing)
завивочные щипцы,ролик,щипцы,щипцы для завивки	"A MECHANICAL DEVICE CONSISTING OF A CYLINDRICAL TUBE AROUND WHICH THE HAIR IS WOUND TO CURL IT"	crimper(icl>mechanical_device>thing,equ>curler)+curler(icl>mechanical_device>thing)+roller(icl>mechanical_device>thing,equ>curler)
багровый,красный,побагровевший	"(ESPECIALLY OF THE FACE) REDDENED OR SUFFUSED WITH OR AS IF WITH BLOOD FROM EMOTION OR EXERTION","SUFFUSED WITH OR AS IF WITH BLOOD FROM EMOTION OR EXERTION"	crimson(icl>adj)+red(icl>adj,equ>crimson)+red-faced(icl>adj,equ>crimson)
отпрянуть,отступить,отшатываться,трусить,уклоняться	"DRAW BACK, AS WITH FEAR OR PAIN"	cringe(icl>move>do,equ>flinch,rsn>thing,agt>living_thing)+flinch(icl>move>do,rsn>thing,agt>living_thing)+funk(icl>move>do,equ>flinch,rsn>thing,agt>living_thing)+quail(icl>move>do,equ>flinch,rsn>thing,agt>living_thing)+recoil(icl>move>do,equ>flinch,rsn>thing,agt>living_thing)+shrink(icl>move>do,equ>flinch,rsn>thing,agt>living_thing)+squinch(icl>move>do,equ>flinch,rsn>thing,agt>living_thing)+wince(icl>move>do,equ>flinch,agt>living_thing)
кринолин,фижмы	"A SKIRT STIFFENED WITH HOOPS"	crinoline(icl>skirt>thing,equ>hoopskirt)+hoopskirt(icl>skirt>thing)
хрусткий,хрустящий	"TENDER AND BRITTLE"	crisp(icl>adj)+crispy(icl>adj,equ>crisp)
поджаривать,подрумянивать	"MAKE BROWN AND CRISP BY HEATING"	crisp(icl>heat>do,equ>crispen,agt>thing,obj>thing)+toast(icl>heat>do,equ>crispen,agt>thing,obj>thing)
крест-накрест,перекрестно	"CROSSING ONE ANOTHER IN OPPOSITE DIRECTIONS"	crisscross(icl>how)
крест,крестик	"A MARKING THAT CONSISTS OF LINES THAT CROSS EACH OTHER"	crisscross(icl>marking>thing)+cross(icl>marking>thing,equ>crisscross)+mark(icl>marking>thing,equ>crisscross)
критерий,образец,эталон	"THE IDEAL IN TERMS OF WHICH SOMETHING CAN BE JUDGED"	criterion(icl>ideal>thing)+standard(icl>ideal>thing,equ>criterion)
критерий,мерило,стандарт	"A BASIS FOR COMPARISON"	criterion(icl>reference_point>thing,equ>standard)+measure(icl>reference_point>thing,equ>standard)+standard(icl>reference_point>thing)+touchstone(icl>reference_point>thing,equ>standard)
критический,критичный	"CHARACTERIZED BY CAREFUL EVALUATION AND JUDGMENT"	critical(icl>adj,ant>uncritical)
обзор,рецензия	"","AN ESSAY OR ARTICLE THAT GIVES A CRITICAL EVALUATION (AS OF A BOOK OR PLAY)"	critique(icl>criticism>thing,equ>review)+review(icl>action,agt>thing,obj>thing)
критиковать,рецензировать	"APPRAISE CRITICALLY","TO WRITE AN ARTICLE GIVING YOUR OPINION OF"	critique(icl>evaluate>do,equ>review,rsn>thing,agt>volitional_thing,obj>thing)+review(icl>write>do,equ>critique,agt>person,obj>thing)
помереть,умирать	"PASS FROM PHYSICAL LIFE AND LOSE ALL BODILY ATTRIBUTES AND FUNCTIONS NECESSARY TO SUSTAIN LIFE"	croak(icl>change_state>occur,equ>die,obj>thing)+pop_off(icl>die>occur,obj>person)
ворчать,роптать	"MAKE COMPLAINING REMARKS OR NOISES UNDER ONE'S BREATH"	croak(icl>complain>do,equ>murmur,agt>thing)+gnarl(icl>complain>do,equ>murmur,agt>volitional_thing,obj>thing)+grumble(icl>complain>do,equ>murmur,agt>thing)+murmur(icl>complain>do,agt>person,obj>uw)+mutter(icl>complain>do,agt>person,obj>uw)
изгибать,сгибать	"BEND OR CAUSE TO BEND","CAUSE TO CHANGE FORM"	crook(icl>bend>occur,obj>thing)+curve(icl>cause>do,equ>flex,agt>volitional_thing,obj>thing,ins>thing)
возделывать,засевать	"PREPARE FOR CROPS","TO PREPARE AND USE LAND FOR GROWING CROPS AND PLANTS"	crop(icl>fix>do,equ>cultivate,agt>thing,obj>thing)+cultivate(icl>do,equ>farm,agt>person,obj>place,ins>thing)
возникать,появляться	"APPEAR SUDDENLY OR UNEXPECTEDLY"	crop_up(icl>appear>occur,obj>thing)+pop_up(icl>appear>occur,obj>concrete_thing)
испольщик,фермер	"SMALL FARMERS AND TENANTS"	cropper(icl>agricultural_laborer>thing,equ>sharecropper)+sharecropper(icl>agricultural_laborer>thing)
